OptionEpic,UnderlyingEpic,Strike,Expiry,CallOrPut,DividendYield,RiskFreeRate
OP.D.GC1.1285P.IP,MT.D.GC.MONTH1.IP,1285,2017-05-25,PUT,0,0.0118
OP.D.GC1.1290C.IP,MT.D.GC.MONTH1.IP,1290,2017-05-25,CALL,0,0.0118
OP.D.FTSE6.7325P.IP,IX.D.FTSE.MONTH1.IP,7325,2017-06-16,PUT,0,0.0031
OP.D.FTSE6.7350C.IP,IX.D.FTSE.MONTH1.IP,7350,2017-06-16,CALL,0,0.0031
OP.D.FTSE6.7400P.IP,IX.D.FTSE.MONTH1.IP,7400,2017-06-16,PUT,0,0.0031
OP.D.FTSE6.7475P.IP,IX.D.FTSE.MONTH1.IP,7475,2017-06-16,PUT,0,0.0031
OD.D.MTH2GBP.35.IP,CF.D.GBPUSD.JUN.IP,12800,2017-06-21,PUT,0,0.0031
