OptionEpic,UnderlyingEpic,Strike,Expiry,CallOrPut,DividendYield,RiskFreeRate
OD.D.MTHGBP.53.IP,CF.D.GBPUSD.SEP.IP,12700,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.52.IP,CF.D.GBPUSD.SEP.IP,12800,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.51.IP,CF.D.GBPUSD.SEP.IP,12800,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.50.IP,CF.D.GBPUSD.SEP.IP,12900,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.49.IP,CF.D.GBPUSD.SEP.IP,12900,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.48.IP,CF.D.GBPUSD.SEP.IP,13000,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.47.IP,CF.D.GBPUSD.SEP.IP,13000,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.46.IP,CF.D.GBPUSD.SEP.IP,13100,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.45.IP,CF.D.GBPUSD.SEP.IP,13100,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.44.IP,CF.D.GBPUSD.SEP.IP,13200,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.43.IP,CF.D.GBPUSD.SEP.IP,13200,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.42.IP,CF.D.GBPUSD.SEP.IP,13300,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.41.IP,CF.D.GBPUSD.SEP.IP,13300,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.40.IP,CF.D.GBPUSD.SEP.IP,13400,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.39.IP,CF.D.GBPUSD.SEP.IP,13400,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.38.IP,CF.D.GBPUSD.SEP.IP,13500,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.37.IP,CF.D.GBPUSD.SEP.IP,13500,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.36.IP,CF.D.GBPUSD.SEP.IP,13600,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.35.IP,CF.D.GBPUSD.SEP.IP,13600,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.34.IP,CF.D.GBPUSD.SEP.IP,13700,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.33.IP,CF.D.GBPUSD.SEP.IP,13700,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.32.IP,CF.D.GBPUSD.SEP.IP,13700,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.31.IP,CF.D.GBPUSD.SEP.IP,13800,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.30.IP,CF.D.GBPUSD.SEP.IP,13900,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.29.IP,CF.D.GBPUSD.SEP.IP,13900,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.28.IP,CF.D.GBPUSD.SEP.IP,14000,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.27.IP,CF.D.GBPUSD.SEP.IP,14000,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.26.IP,CF.D.GBPUSD.SEP.IP,14100,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.25.IP,CF.D.GBPUSD.SEP.IP,14100,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.24.IP,CF.D.GBPUSD.SEP.IP,14200,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.23.IP,CF.D.GBPUSD.SEP.IP,14200,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.22.IP,CF.D.GBPUSD.SEP.IP,14300,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.21.IP,CF.D.GBPUSD.SEP.IP,14300,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.20.IP,CF.D.GBPUSD.SEP.IP,14400,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.19.IP,CF.D.GBPUSD.SEP.IP,14400,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.18.IP,CF.D.GBPUSD.SEP.IP,14500,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.17.IP,CF.D.GBPUSD.SEP.IP,14500,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.16.IP,CF.D.GBPUSD.SEP.IP,14600,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.15.IP,CF.D.GBPUSD.SEP.IP,14600,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.14.IP,CF.D.GBPUSD.SEP.IP,14700,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.13.IP,CF.D.GBPUSD.SEP.IP,14700,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.12.IP,CF.D.GBPUSD.SEP.IP,14800,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.11.IP,CF.D.GBPUSD.SEP.IP,14800,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.10.IP,CF.D.GBPUSD.SEP.IP,14900,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.9.IP,CF.D.GBPUSD.SEP.IP,14900,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.8.IP,CF.D.GBPUSD.SEP.IP,15000,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.7.IP,CF.D.GBPUSD.SEP.IP,15000,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.6.IP,CF.D.GBPUSD.SEP.IP,15100,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.5.IP,CF.D.GBPUSD.SEP.IP,15100,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.4.IP,CF.D.GBPUSD.SEP.IP,15200,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.2.IP,CF.D.GBPUSD.SEP.IP,15600,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.130.IP,CF.D.GBPUSD.SEP.IP,8900,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.129.IP,CF.D.GBPUSD.SEP.IP,8900,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.128.IP,CF.D.GBPUSD.SEP.IP,9000,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.127.IP,CF.D.GBPUSD.SEP.IP,9000,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.126.IP,CF.D.GBPUSD.SEP.IP,9100,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.125.IP,CF.D.GBPUSD.SEP.IP,9100,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.124.IP,CF.D.GBPUSD.SEP.IP,9200,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.123.IP,CF.D.GBPUSD.SEP.IP,9200,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.122.IP,CF.D.GBPUSD.SEP.IP,9300,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.121.IP,CF.D.GBPUSD.SEP.IP,9300,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.120.IP,CF.D.GBPUSD.SEP.IP,9400,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.119.IP,CF.D.GBPUSD.SEP.IP,9400,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.118.IP,CF.D.GBPUSD.SEP.IP,9500,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.117.IP,CF.D.GBPUSD.SEP.IP,9500,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.116.IP,CF.D.GBPUSD.SEP.IP,9600,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.115.IP,CF.D.GBPUSD.SEP.IP,9600,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.114.IP,CF.D.GBPUSD.SEP.IP,9700,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.113.IP,CF.D.GBPUSD.SEP.IP,9700,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.112.IP,CF.D.GBPUSD.SEP.IP,9800,2017-09-20,CALL,0,0.00331
OD.D.MTHGBP.111.IP,CF.D.GBPUSD.SEP.IP,9800,2017-09-20,PUT,0,0.00331
OD.D.MTHGBP.110.IP,CF.D.GBPUSD.SEP.IP,9900,2017-09-20,CALL,0,0.00331
