OptionEpic,UnderlyingEpic,Strike,Expiry,CallOrPut,DividendYield,RiskFreeRate
OP.D.FTSE1.4000C.IP,IX.D.FTSE.MONTH8.IP,4000.0,2017-12-15,CALL,0.0,0.00331
OP.D.FTSE1.4000P.IP,IX.D.FTSE.MONTH8.IP,4000.0,2017-12-15,PUT,0.0,0.00331
OP.D.FTSE1.4025C.IP,IX.D.FTSE.MONTH8.IP,4025.0,2017-12-15,CALL,0.0,0.00331
OP.D.FTSE1.4025P.IP,IX.D.FTSE.MONTH8.IP,4025.0,2017-12-15,PUT,0.0,0.00331
OP.D.FTSE1.4050C.IP,IX.D.FTSE.MONTH8.IP,4050.0,2017-12-15,CALL,0.0,0.00331
OP.D.FTSE1.4050P.IP,IX.D.FTSE.MONTH8.IP,4050.0,2017-12-15,PUT,0.0,0.00331
OP.D.FTSE1.4075C.IP,IX.D.FTSE.MONTH8.IP,4075.0,2017-12-15,CALL,0.0,0.00331
OP.D.FTSE1.4075P.IP,IX.D.FTSE.MONTH8.IP,4075.0,2017-12-15,PUT,0.0,0.00331
OP.D.FTSE1.4100C.IP,IX.D.FTSE.MONTH8.IP,4100.0,2017-12-15,CALL,0.0,0.00331
OP.D.FTSE1.4100P.IP,IX.D.FTSE.MONTH8.IP,4100.0,2017-12-15,PUT,0.0,0.00331
OP.D.FTSE1.4125C.IP,IX.D.FTSE.MONTH8.IP,4125.0,2017-12-15,CALL,0.0,0.00331
OP.D.FTSE1.4125P.IP,IX.D.FTSE.MONTH8.IP,4125.0,2017-12-15,PUT,0.0,0.00331
OP.D.FTSE1.4150C.IP,IX.D.FTSE.MONTH8.IP,4150.0,2017-12-15,CALL,0.0,0.00331
OP.D.FTSE1.4150P.IP,IX.D.FTSE.MONTH8.IP,4150.0,2017-12-15,PUT,0.0,0.00331
OP.D.FTSE1.4175C.IP,IX.D.FTSE.MONTH8.IP,4175.0,2017-12-15,CALL,0.0,0.00331
OP.D.FTSE1.4175P.IP,IX.D.FTSE.MONTH8.IP,4175.0,2017-12-15,PUT,0.0,0.00331
OP.D.FTSE1.4200C.IP,IX.D.FTSE.MONTH8.IP,4200.0,2017-12-15,CALL,0.0,0.00331
OP.D.FTSE1.4200P.IP,IX.D.FTSE.MONTH8.IP,4200.0,2017-12-15,PUT,0.0,0.00331
OP.D.FTSE1.4225C.IP,IX.D.FTSE.MONTH8.IP,4225.0,2017-12-15,CALL,0.0,0.00331
OP.D.FTSE1.4225P.IP,IX.D.FTSE.MONTH8.IP,4225.0,2017-12-15,PUT,0.0,0.00331
OP.D.FTSE1.4250C.IP,IX.D.FTSE.MONTH8.IP,4250.0,2017-12-15,CALL,0.0,0.00331
OP.D.FTSE1.4250P.IP,IX.D.FTSE.MONTH8.IP,4250.0,2017-12-15,PUT,0.0,0.00331
OP.D.FTSE1.4275C.IP,IX.D.FTSE.MONTH8.IP,4275.0,2017-12-15,CALL,0.0,0.00331
OP.D.FTSE1.4275P.IP,IX.D.FTSE.MONTH8.IP,4275.0,2017-12-15,PUT,0.0,0.00331
OP.D.FTSE1.4300C.IP,IX.D.FTSE.MONTH8.IP,4300.0,2017-12-15,CALL,0.0,0.00331
