OptionEpic,UnderlyingEpic,Strike,Expiry,CallOrPut,DividendYield,RiskFreeRate
OP.D.FTSE2.4625P.IP,IX.D.FTSE.MONTH3.IP,4625.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.4650C.IP,IX.D.FTSE.MONTH3.IP,4650.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.4650P.IP,IX.D.FTSE.MONTH3.IP,4650.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.4675C.IP,IX.D.FTSE.MONTH3.IP,4675.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.4675P.IP,IX.D.FTSE.MONTH3.IP,4675.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.4700C.IP,IX.D.FTSE.MONTH3.IP,4700.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.4700P.IP,IX.D.FTSE.MONTH3.IP,4700.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.4725C.IP,IX.D.FTSE.MONTH3.IP,4725.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.4725P.IP,IX.D.FTSE.MONTH3.IP,4725.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.4750C.IP,IX.D.FTSE.MONTH3.IP,4750.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.4750P.IP,IX.D.FTSE.MONTH3.IP,4750.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.4775C.IP,IX.D.FTSE.MONTH3.IP,4775.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.4775P.IP,IX.D.FTSE.MONTH3.IP,4775.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.4800C.IP,IX.D.FTSE.MONTH3.IP,4800.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.4800P.IP,IX.D.FTSE.MONTH3.IP,4800.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.4825C.IP,IX.D.FTSE.MONTH3.IP,4825.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.4825P.IP,IX.D.FTSE.MONTH3.IP,4825.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.4850C.IP,IX.D.FTSE.MONTH3.IP,4850.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.4850P.IP,IX.D.FTSE.MONTH3.IP,4850.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.4875C.IP,IX.D.FTSE.MONTH3.IP,4875.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.4875P.IP,IX.D.FTSE.MONTH3.IP,4875.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.4900C.IP,IX.D.FTSE.MONTH3.IP,4900.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.4900P.IP,IX.D.FTSE.MONTH3.IP,4900.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.4925C.IP,IX.D.FTSE.MONTH3.IP,4925.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.4925P.IP,IX.D.FTSE.MONTH3.IP,4925.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.4950C.IP,IX.D.FTSE.MONTH3.IP,4950.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.4950P.IP,IX.D.FTSE.MONTH3.IP,4950.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.4975C.IP,IX.D.FTSE.MONTH3.IP,4975.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.4975P.IP,IX.D.FTSE.MONTH3.IP,4975.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5000C.IP,IX.D.FTSE.MONTH3.IP,5000.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5000P.IP,IX.D.FTSE.MONTH3.IP,5000.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5025C.IP,IX.D.FTSE.MONTH3.IP,5025.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5025P.IP,IX.D.FTSE.MONTH3.IP,5025.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5050C.IP,IX.D.FTSE.MONTH3.IP,5050.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5050P.IP,IX.D.FTSE.MONTH3.IP,5050.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5075C.IP,IX.D.FTSE.MONTH3.IP,5075.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5075P.IP,IX.D.FTSE.MONTH3.IP,5075.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5100C.IP,IX.D.FTSE.MONTH3.IP,5100.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5100P.IP,IX.D.FTSE.MONTH3.IP,5100.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5125C.IP,IX.D.FTSE.MONTH3.IP,5125.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5125P.IP,IX.D.FTSE.MONTH3.IP,5125.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5150C.IP,IX.D.FTSE.MONTH3.IP,5150.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5150P.IP,IX.D.FTSE.MONTH3.IP,5150.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5175C.IP,IX.D.FTSE.MONTH3.IP,5175.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5175P.IP,IX.D.FTSE.MONTH3.IP,5175.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5200C.IP,IX.D.FTSE.MONTH3.IP,5200.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5200P.IP,IX.D.FTSE.MONTH3.IP,5200.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5225C.IP,IX.D.FTSE.MONTH3.IP,5225.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5225P.IP,IX.D.FTSE.MONTH3.IP,5225.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5250C.IP,IX.D.FTSE.MONTH3.IP,5250.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5250P.IP,IX.D.FTSE.MONTH3.IP,5250.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5275C.IP,IX.D.FTSE.MONTH3.IP,5275.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5275P.IP,IX.D.FTSE.MONTH3.IP,5275.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5300C.IP,IX.D.FTSE.MONTH3.IP,5300.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5300P.IP,IX.D.FTSE.MONTH3.IP,5300.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5325C.IP,IX.D.FTSE.MONTH3.IP,5325.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5325P.IP,IX.D.FTSE.MONTH3.IP,5325.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5350C.IP,IX.D.FTSE.MONTH3.IP,5350.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5350P.IP,IX.D.FTSE.MONTH3.IP,5350.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5375C.IP,IX.D.FTSE.MONTH3.IP,5375.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5375P.IP,IX.D.FTSE.MONTH3.IP,5375.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5400C.IP,IX.D.FTSE.MONTH3.IP,5400.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5400P.IP,IX.D.FTSE.MONTH3.IP,5400.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5425C.IP,IX.D.FTSE.MONTH3.IP,5425.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5425P.IP,IX.D.FTSE.MONTH3.IP,5425.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5450C.IP,IX.D.FTSE.MONTH3.IP,5450.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5450P.IP,IX.D.FTSE.MONTH3.IP,5450.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5475C.IP,IX.D.FTSE.MONTH3.IP,5475.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5475P.IP,IX.D.FTSE.MONTH3.IP,5475.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5500C.IP,IX.D.FTSE.MONTH3.IP,5500.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5500P.IP,IX.D.FTSE.MONTH3.IP,5500.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5525C.IP,IX.D.FTSE.MONTH3.IP,5525.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5525P.IP,IX.D.FTSE.MONTH3.IP,5525.0,2017-09-15,PUT,0.0,0.331
