OptionEpic,UnderlyingEpic,Strike,Expiry,CallOrPut,DividendYield,RiskFreeRate
OD.D.MTH2GBP.51.IP,CF.D.GBPUSD.DEC.IP,12600,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.50.IP,CF.D.GBPUSD.DEC.IP,12700,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.49.IP,CF.D.GBPUSD.DEC.IP,12700,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.48.IP,CF.D.GBPUSD.DEC.IP,12800,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.47.IP,CF.D.GBPUSD.DEC.IP,12800,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.46.IP,CF.D.GBPUSD.DEC.IP,12900,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.45.IP,CF.D.GBPUSD.DEC.IP,12900,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.44.IP,CF.D.GBPUSD.DEC.IP,13000,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.43.IP,CF.D.GBPUSD.DEC.IP,13000,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.42.IP,CF.D.GBPUSD.DEC.IP,13100,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.41.IP,CF.D.GBPUSD.DEC.IP,13100,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.40.IP,CF.D.GBPUSD.DEC.IP,13200,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.39.IP,CF.D.GBPUSD.DEC.IP,13200,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.38.IP,CF.D.GBPUSD.DEC.IP,13300,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.37.IP,CF.D.GBPUSD.DEC.IP,13300,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.36.IP,CF.D.GBPUSD.DEC.IP,13400,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.35.IP,CF.D.GBPUSD.DEC.IP,13400,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.34.IP,CF.D.GBPUSD.DEC.IP,13500,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.33.IP,CF.D.GBPUSD.DEC.IP,13500,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.32.IP,CF.D.GBPUSD.DEC.IP,13600,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.31.IP,CF.D.GBPUSD.DEC.IP,13600,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.30.IP,CF.D.GBPUSD.DEC.IP,13700,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.29.IP,CF.D.GBPUSD.DEC.IP,13700,2017-12-20,PUT,0,0.0131056
OD.D.MTH2GBP.28.IP,CF.D.GBPUSD.DEC.IP,13700,2017-12-20,CALL,0,0.0131056
OD.D.MTH2GBP.27.IP,CF.D.GBPUSD.DEC.IP,13800,2017-12-20,PUT,0,0.0131056
