OptionEpic,UnderlyingEpic,Strike,Expiry,CallOrPut,DividendYield,RiskFreeRate
OP.D.FTSE4.4000C.IP,IX.D.FTSE.MONTH2.IP,4000.0,2017-08-18,CALL,0.0,0.00331
OP.D.FTSE4.4000P.IP,IX.D.FTSE.MONTH2.IP,4000.0,2017-08-18,PUT,0.0,0.00331
OP.D.FTSE4.4025C.IP,IX.D.FTSE.MONTH2.IP,4025.0,2017-08-18,CALL,0.0,0.00331
OP.D.FTSE4.4025P.IP,IX.D.FTSE.MONTH2.IP,4025.0,2017-08-18,PUT,0.0,0.00331
OP.D.FTSE4.4050C.IP,IX.D.FTSE.MONTH2.IP,4050.0,2017-08-18,CALL,0.0,0.00331
OP.D.FTSE4.4050P.IP,IX.D.FTSE.MONTH2.IP,4050.0,2017-08-18,PUT,0.0,0.00331
OP.D.FTSE4.4075C.IP,IX.D.FTSE.MONTH2.IP,4075.0,2017-08-18,CALL,0.0,0.00331
OP.D.FTSE4.4075P.IP,IX.D.FTSE.MONTH2.IP,4075.0,2017-08-18,PUT,0.0,0.00331
OP.D.FTSE4.4100C.IP,IX.D.FTSE.MONTH2.IP,4100.0,2017-08-18,CALL,0.0,0.00331
OP.D.FTSE4.4100P.IP,IX.D.FTSE.MONTH2.IP,4100.0,2017-08-18,PUT,0.0,0.00331
OP.D.FTSE4.4125C.IP,IX.D.FTSE.MONTH2.IP,4125.0,2017-08-18,CALL,0.0,0.00331
OP.D.FTSE4.4125P.IP,IX.D.FTSE.MONTH2.IP,4125.0,2017-08-18,PUT,0.0,0.00331
OP.D.FTSE4.4150C.IP,IX.D.FTSE.MONTH2.IP,4150.0,2017-08-18,CALL,0.0,0.00331
OP.D.FTSE4.4150P.IP,IX.D.FTSE.MONTH2.IP,4150.0,2017-08-18,PUT,0.0,0.00331
OP.D.FTSE4.4175C.IP,IX.D.FTSE.MONTH2.IP,4175.0,2017-08-18,CALL,0.0,0.00331
OP.D.FTSE4.4175P.IP,IX.D.FTSE.MONTH2.IP,4175.0,2017-08-18,PUT,0.0,0.00331
OP.D.FTSE4.4200C.IP,IX.D.FTSE.MONTH2.IP,4200.0,2017-08-18,CALL,0.0,0.00331
OP.D.FTSE4.4200P.IP,IX.D.FTSE.MONTH2.IP,4200.0,2017-08-18,PUT,0.0,0.00331
OP.D.FTSE4.4225C.IP,IX.D.FTSE.MONTH2.IP,4225.0,2017-08-18,CALL,0.0,0.00331
OP.D.FTSE4.4225P.IP,IX.D.FTSE.MONTH2.IP,4225.0,2017-08-18,PUT,0.0,0.00331
OP.D.FTSE4.4250C.IP,IX.D.FTSE.MONTH2.IP,4250.0,2017-08-18,CALL,0.0,0.00331
OP.D.FTSE4.4250P.IP,IX.D.FTSE.MONTH2.IP,4250.0,2017-08-18,PUT,0.0,0.00331
OP.D.FTSE4.4275C.IP,IX.D.FTSE.MONTH2.IP,4275.0,2017-08-18,CALL,0.0,0.00331
OP.D.FTSE4.4275P.IP,IX.D.FTSE.MONTH2.IP,4275.0,2017-08-18,PUT,0.0,0.00331
OP.D.FTSE4.4300C.IP,IX.D.FTSE.MONTH2.IP,4300.0,2017-08-18,CALL,0.0,0.00331
OP.D.FTSE4.4300P.IP,IX.D.FTSE.MONTH2.IP,4300.0,2017-08-18,PUT,0.0,0.00331
OP.D.FTSE4.4325C.IP,IX.D.FTSE.MONTH2.IP,4325.0,2017-08-18,CALL,0.0,0.00331
OP.D.FTSE4.4325P.IP,IX.D.FTSE.MONTH2.IP,4325.0,2017-08-18,PUT,0.0,0.00331
OP.D.FTSE4.4350C.IP,IX.D.FTSE.MONTH2.IP,4350.0,2017-08-18,CALL,0.0,0.00331
OP.D.FTSE4.4350P.IP,IX.D.FTSE.MONTH2.IP,4350.0,2017-08-18,PUT,0.0,0.00331
OP.D.FTSE4.4375C.IP,IX.D.FTSE.MONTH2.IP,4375.0,2017-08-18,CALL,0.0,0.00331
OP.D.FTSE4.4375P.IP,IX.D.FTSE.MONTH2.IP,4375.0,2017-08-18,PUT,0.0,0.00331
OP.D.FTSE4.4400C.IP,IX.D.FTSE.MONTH2.IP,4400.0,2017-08-18,CALL,0.0,0.00331
OP.D.FTSE4.4400P.IP,IX.D.FTSE.MONTH2.IP,4400.0,2017-08-18,PUT,0.0,0.00331
OP.D.FTSE4.4425C.IP,IX.D.FTSE.MONTH2.IP,4425.0,2017-08-18,CALL,0.0,0.00331
OP.D.FTSE4.4425P.IP,IX.D.FTSE.MONTH2.IP,4425.0,2017-08-18,PUT,0.0,0.00331
OP.D.FTSE4.4450C.IP,IX.D.FTSE.MONTH2.IP,4450.0,2017-08-18,CALL,0.0,0.00331
OP.D.FTSE4.4450P.IP,IX.D.FTSE.MONTH2.IP,4450.0,2017-08-18,PUT,0.0,0.00331
OP.D.FTSE4.4475C.IP,IX.D.FTSE.MONTH2.IP,4475.0,2017-08-18,CALL,0.0,0.00331
